DISSOLVEID, STEWARD_ID
101278,60746
1381,37829
101431,60746
1601,51433
2039,48797
101967,5833
465,44659
100574,59122
1504,8470
2201,51433
1990,27011
784,27011
1545,27011
2141,27011
1846,12697
1633,27011
1984,54555
240,55586
2239,27011
102369,27011
174,27011
1242,27011
1780,27011
101908,44659
914,27011
642,27011
101817,48345
1644,25462
2720,27011
1203,27011
202,25462
1433,27011
918,6810
1862,27011
890,27011
1944,27011
2165,28868
2522,27011
102083,5799
102156,8470
171,12532
102086,5799
1897,63301
101357,60746
101854,44476
355,63301
1394,63301
101343,60746
2085,12697
1317,48345
1733,37829
100082,54604
2388,62757
704,8470
471,48345
1018,20231
266,28868
102038,5799
2224,28868
423,31498
102031,5799
103606,62987
648,51433
841,64267
101579,50594
102050,5799
973,44659
2277,51433
101323,60746
101404,60746
100046,21074
414,8470
104078,43580
2107,63301
2254,5799
100607,51926
1920,50594
433,48797
2449,48797
968,27934
104629,48797
1270,12697
101305,60746
1333,63301
2214,63301
334,43580
2310,7245
102015,5799
949,37104
2540,58672
543,48797
2178,48797
101344,60746
1799,44659
102007,57650
101429,60746
2448,48797
101704,12532
589,51433
2691,64686
101631,50594
101846,62171
2166,55586
1785,44659
1001,4621
101427,60746
101520,60746
103616,62987
2204,22159
104660,27015
442,7245
2383,48345
849,12697
2194,44659
1616,16973
2244,45392
103612,62987
103000,21732
101700,12532
984,58672
1053,51433
459,48797
2434,12532
101800,48345
101500,60746
2640,48797
790,63301
1031,51433
102309,45392
2152,57650
101768,63301
102231,22159
2447,44659
102065,5799
101399,60746
1397,44659
699,59864
1163,45392
101610,50594
101391,60746
102999,21732
101455,60746
327,44659
2142,57650
2173,6810
1694,48797
101332,60746
1189,64686
101386,60746
101707,12532
101888,44476
101351,60746
464,28627
102134,8470
101494,60746
1807,54555
963,51433
2583,48797
1518,28832
102313,45392
808,62757
1088,62757
2099,63301
102398,37829
722,48345
101965,5833
101370,60746
102245,22159
1150,63301
2632,37104
101480,60746
1907,51433
2000,48797
1404,12697
1234,21074
1006,63301
101886,44476
1154,7245
102221,22159
101453,60746
393,63301
1214,51433
979,51433
102170,8470
1761,63301
104663,27015
102301,45392
2398,48797
807,44476
192,58746
1643,65516
101595,50594
101377,60746
1605,62987
102224,22159
101353,60746
208,48797
477,63301
878,48797
2184,48797
2567,12697
538,45392
1664,63301
101446,60746
874,12697
1465,57749
1681,62171
1288,58672
1367,57650
339,33909
102204,22159
101923,44659
618,25462
102175,8470
1554,44659
101705,12532
101757,63301
1182,47193
1314,45392
102266,45392
100612,48702
101832,48345
101346,60746
2168,48797
2392,45392
951,57749
1787,45392
102085,5799
101310,60746
2150,62757
101473,60746
101674,50594
2601,12697
815,23293
1841,51433
1887,45392
2472,33909
104081,43580
2182,46772
1695,63301
2703,63301
1602,61501
1965,51433
102276,45392
690,8470
2273,27011
792,27011
2585,27011
1793,48797
2610,27011
1116,27011
39,63301
1429,27011
2336,27011
846,27011
419,25462
1434,17500
2143,27011
565,27011
541,48797
2634,27011
1168,27011
101613,50594
101593,50594
488,27011
2002,27011
1833,27011
2654,48797
101402,60746
1238,63301
101369,60746
101381,60746
1190,44476
2660,51433
101415,60746
2001,48797
101802,48345
101267,60746
819,23293
102046,5799
102168,8470
1902,12697
1121,48345
384,63301
1418,7245
101424,60746
549,26692
901,63301
104642,48797
0,8470
104637,48797
104145,57992
1055,44659
102161,8470
1124,48797
1369,48797
2035,48797
104069,43580
840,25462
102087,5799
