170679,"Multnomah","Woods Creek Trail",
725199,"Multnomah","Condor Ave Connector",
548668,"Multnomah","12th St Connector",
143847,"Washington","Forge Dr - Strasburg Dr Connector",
639387,"Washington","Tualatin Valley Trail",
837225,"Washington","Matchcutters Lane",
121549,"Multnomah","Depot Park Trails - Connector",
116881,"Multnomah","SW Garden Home Rd - SW 42nd Ave Connector",
300807,"Multnomah","East Buttes Power Line Trail",
932628,"Multnomah","Firelane 1",
217342,"Multnomah","21st Ave Connector",
859428,"Multnomah","NE 42nd Ave Pedestrian Walkway",
659181,"Clackamas","Highland View Homeowners Association Trails - Connector",
979117,"Multnomah","Beaverton to Milwaukie Trail - Connector",
412168,"Washington","Cooper Mountain Loop",
911728,"Washington","Overlook Trail",
569478,"Multnomah","Ruth Pennington Trillium Trail",
377030,"Clackamas","East Buttes Power Line Trail",
288809,"Multnomah","Union Station Walkway - Connector",
237681,"Clackamas","Saddlehorn Ct - Abigail Ct Connector",
389311,"Washington","170th Ave - Gables Creek Ln Connector",
590537,"Clackamas","Veda LakeTrail",
161607,"Clackamas","Kinzel Lake Trail #665",
176669,"Washington","Starview Drive Trail",
457757,"Clackamas","SE 162nd Ave",
492826,"Multnomah","I-405 Trail",
233199,"Clackamas","Clackamas River Greenway - Connector",
599606,"Multnomah","Horsetail Creek Trail #425",
812490,"Multnomah","Tanner Springs Park - Connector",
246758,"Multnomah","N Lombard St - crosswalk",
306466,"Clackamas","Bridgeport to Milwaukie Trail",
147316,"Clackamas","Jackpot Meadows Trail #492",
143353,"Multnomah","EMANUEL HOSPITAL PATH",
128794,"Multnomah","Angels Rest Trail #415",
504893,"Clackamas","Douglas Trail #781",
536721,"Washington","Thornwood Trail",
418175,"Multnomah","Water Line Trail",
882278,"Multnomah","Nadaka Loop Trail",
638516,"Washington","South Loop Trail",
170784,"Clackamas","Castle Canyon Trail #765",
200187,"Multnomah","SW Naito Pkwy - SW Kelly St Connector",
845693,"Multnomah","Peninsula Canal Trail",
866946,"Clackamas","Tigard to Lake Oswego Trail",
392908,"Clackamas","Butler Buttes Trail",
698894,"Multnomah","Lower Latourell Falls Trail",
752067,"Columbia","Banks-Vernonia Trail",
996592,"Clackamas","Riverside Trail",
369320,"Washington","Step Creek Trail",
